topic,weighted_dispersion,perm_p_value,fdr_q_value,significant,topic_label,super_topic
topic_27,0.000439786253327842,0.0001999600079984003,0.0001999600079984003,True,Azur Lane Roleplay,Creative Writing & Roleplay
topic_36,0.0004007584408595993,0.0001999600079984003,0.0001999600079984003,True,Mind & Consciousness,Information/Trivia & Explanatory QA
topic_66,0.0004004374116660947,0.0001999600079984003,0.0001999600079984003,True,Cast List Generation,"Media, Art, and Entertainment"
topic_14,0.00039641774546970255,0.0001999600079984003,0.0001999600079984003,True,Personal Finance Questions,"Finance, Law, and Practical Life"
topic_25,0.0003471898584939826,0.0001999600079984003,0.0001999600079984003,True,AI Art Prompting,"Media, Art, and Entertainment"
topic_21,0.00031935115988755377,0.0001999600079984003,0.0001999600079984003,True,Relationship Message Help,Personal Advice & Communication
topic_28,0.0003166345529918425,0.0001999600079984003,0.0001999600079984003,True,DC Character Concepts,"Media, Art, and Entertainment"
topic_19,0.0002865237397107678,0.0001999600079984003,0.0001999600079984003,True,Biology & Health Questions,"Health, Biology, and Medicine"
topic_47,0.0002786645911869057,0.0001999600079984003,0.0001999600079984003,True,Computer Tech Support,Coding & Technical Help
topic_42,0.000206584187144223,0.0001999600079984003,0.0001999600079984003,True,Customer Service Emails,Career & Professional Writing
topic_41,0.0001648799858839971,0.0001999600079984003,0.0001999600079984003,True,Real Estate Writing,Career & Professional Writing
topic_61,0.00016298002182108402,0.0001999600079984003,0.0001999600079984003,True,Short Reply Generation,Personal Advice & Communication
topic_43,0.00015622401931859875,0.0001999600079984003,0.0001999600079984003,True,WordGirl Fan Fiction,Creative Writing & Roleplay
topic_23,0.0001356764396067528,0.0001999600079984003,0.0001999600079984003,True,Professional Email Writing,Career & Professional Writing
topic_63,0.00011752295772597763,0.0001999600079984003,0.0001999600079984003,True,SCP Creative Writing,Creative Writing & Roleplay
topic_53,0.00010528491887085948,0.0001999600079984003,0.0001999600079984003,True,Game Concept Ideation,"Media, Art, and Entertainment"
topic_55,0.00010435471607826772,0.0001999600079984003,0.0001999600079984003,True,Image Prompt Expansion,"Media, Art, and Entertainment"
topic_37,0.00010208691834537999,0.0001999600079984003,0.0001999600079984003,True,Prompt Jailbreak Attempts,Coding & Technical Help
topic_32,0.0001016574572406559,0.0001999600079984003,0.0001999600079984003,True,Casual Conversation Opening,Personal Advice & Communication
topic_34,0.00010070552928919597,0.0001999600079984003,0.0001999600079984003,True,Literary Analysis Help,Education & Homework
topic_52,0.00010023900030130511,0.0001999600079984003,0.0001999600079984003,True,Fantasy Crossover Fanfiction,Creative Writing & Roleplay
topic_50,9.503073103868856e-05,0.0001999600079984003,0.0001999600079984003,True,China History/Politics,"Politics, Religion, and Society"
topic_51,8.236561148997771e-05,0.0001999600079984003,0.0001999600079984003,True,AI Art Prompting,"Media, Art, and Entertainment"
topic_31,7.49483224474856e-05,0.0001999600079984003,0.0001999600079984003,True,ChatGPT/OpenAI Help,Coding & Technical Help
topic_35,7.273709686145411e-05,0.0001999600079984003,0.0001999600079984003,True,Simple Greeting,Personal Advice & Communication
topic_33,7.059803832741755e-05,0.0001999600079984003,0.0001999600079984003,True,Food & Recipe Help,"Finance, Law, and Practical Life"
topic_30,7.051871893390738e-05,0.0001999600079984003,0.0001999600079984003,True,Simple Greeting,Personal Advice & Communication
topic_40,5.783064919096626e-05,0.0001999600079984003,0.0001999600079984003,True,Poetry Writing Help,Creative Writing & Roleplay
topic_67,5.649601867078032e-05,0.0001999600079984003,0.0001999600079984003,True,Jokes & Humor,"Media, Art, and Entertainment"
topic_62,5.585910839705664e-05,0.0001999600079984003,0.0001999600079984003,True,Education Research Writing,Education & Homework
topic_69,5.568523986604148e-05,0.0001999600079984003,0.0001999600079984003,True,Travel Planning Help,"Finance, Law, and Practical Life"
topic_54,5.388227549743215e-05,0.0001999600079984003,0.0001999600079984003,True,SQL Query Help,Coding & Technical Help
topic_38,5.050453374607043e-05,0.0001999600079984003,0.0001999600079984003,True,Essay Writing Help,Education & Homework
topic_57,4.926174964001715e-05,0.0001999600079984003,0.0001999600079984003,True,Game Dev Scripting,Coding & Technical Help
topic_60,4.686608932620513e-05,0.0001999600079984003,0.0001999600079984003,True,AI Art Prompting,"Media, Art, and Entertainment"
topic_48,4.5162513431411047e-05,0.0001999600079984003,0.0001999600079984003,True,Physics Problem Solving,Education & Homework
topic_64,3.846176326153455e-05,0.0001999600079984003,0.0001999600079984003,True,Image Generation Requests,"Media, Art, and Entertainment"
topic_39,3.801172828267724e-05,0.0001999600079984003,0.0001999600079984003,True,Song Lyric Writing,Creative Writing & Roleplay
topic_70,3.718785859631022e-05,0.0001999600079984003,0.0001999600079984003,True,Art History Questions,"Media, Art, and Entertainment"
topic_73,3.434157793189886e-05,0.0001999600079984003,0.0001999600079984003,True,Warcraft Fan Fiction,Creative Writing & Roleplay
topic_56,3.052747128878716e-05,0.0001999600079984003,0.0001999600079984003,True,Mental Health Questions,"Health, Biology, and Medicine"
topic_65,3.0381749785594932e-05,0.0001999600079984003,0.0001999600079984003,True,Time & Space Questions,Information/Trivia & Explanatory QA
topic_75,2.7615658467794436e-05,0.0001999600079984003,0.0001999600079984003,True,Wizard101 Fan Fiction,Creative Writing & Roleplay
topic_71,2.758399028149821e-05,0.0001999600079984003,0.0001999600079984003,True,Konosuba Fan Fiction,Creative Writing & Roleplay
topic_74,2.6886904622661024e-05,0.0001999600079984003,0.0001999600079984003,True,Tattoo SEO Writing,Career & Professional Writing
topic_72,2.4531402483812493e-05,0.0001999600079984003,0.0001999600079984003,True,AI Art Prompting,"Media, Art, and Entertainment"
topic_45,2.329702909841221e-05,0.0001999600079984003,0.0001999600079984003,True,Mixed/Unclear: animals/images,Information/Trivia & Explanatory QA
topic_49,1.8787180560206995e-05,0.0001999600079984003,0.0001999600079984003,True,Mixed/Unclear: year/date mix,Information/Trivia & Explanatory QA
topic_58,1.3517876507547582e-05,0.0001999600079984003,0.0001999600079984003,True,Battery/Vehicle Questions,"Finance, Law, and Practical Life"
topic_68,1.0267465859961029e-05,0.0001999600079984003,0.0001999600079984003,True,Name & Person Lookup,Information/Trivia & Explanatory QA
