topic,topic_id,weighted_prevalence,topic_label,super_topic,label_confidence,unsure_flag
topic_54,54,0.004054996715543229,SQL Query Help,Coding & Technical Help,High,0
topic_62,62,0.004042068139834716,Education Research Writing,Education & Homework,High,0
topic_43,43,0.003977066199214116,WordGirl Fan Fiction,Creative Writing & Roleplay,High,0
topic_61,61,0.003918373736856523,Short Reply Generation,Personal Advice & Communication,High,0
topic_63,63,0.0038652470666430687,SCP Creative Writing,Creative Writing & Roleplay,High,0
topic_65,65,0.00374029348507179,Time & Space Questions,Information/Trivia & Explanatory QA,Medium,1
topic_70,70,0.003720433206098989,Art History Questions,"Media, Art, and Entertainment",High,0
topic_69,69,0.003692662117296066,Travel Planning Help,"Finance, Law, and Practical Life",High,0
topic_68,68,0.003528048186810157,Name & Person Lookup,Information/Trivia & Explanatory QA,Medium,0
topic_52,52,0.003343428025183291,Fantasy Crossover Fanfiction,Creative Writing & Roleplay,High,0
topic_72,72,0.0032331019526919227,AI Art Prompting,"Media, Art, and Entertainment",High,0
topic_57,57,0.003097462917467991,Game Dev Scripting,Coding & Technical Help,High,0
topic_74,74,0.002900507867270487,Tattoo SEO Writing,Career & Professional Writing,High,0
topic_71,71,0.0021926336718440793,Konosuba Fan Fiction,Creative Writing & Roleplay,High,0
topic_73,73,0.0019679045890787995,Warcraft Fan Fiction,Creative Writing & Roleplay,High,0
topic_75,75,0.0018254734049853816,Wizard101 Fan Fiction,Creative Writing & Roleplay,High,0
